File accession,File format,Output type,Experiment accession,Assay,Biosample term id,Biosample term name,Biosample type,Biosample organism,Biosample treatments,Biosample treatments amount,Biosample treatments duration,Biosample genetic modifications methods,Biosample genetic modifications categories,Biosample genetic modifications targets,Biosample genetic modifications gene targets,Biosample genetic modifications site coordinates,Biosample genetic modifications zygosity,Experiment target,Library made from,Library depleted in,Library extraction method,Library lysis method,Library crosslinking method,Library strand specific,Experiment date released,Project,RBNS protein concentration,Library fragmentation method,Library size range,Biological replicate(s),Technical replicate,Read length,Mapped read length,Run type,Paired end,Paired with,Derived from,Size,Lab,md5sum,dbxrefs,File download URL,Assembly,Genome annotation,Platform,Controlled by,File Status,s3_uri,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR
ENCFF581YUX,bam,redacted alignments,ENCSR953GFW,ChIP-seq,UBERON:0018112,rectal smooth muscle tissue,tissue,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF458BBY, ENCFF643CGH",339284882,ENCODE Processing Pipeline,1d8c122b882ee399a0d8eea80714aea9,,https://www.encodeproject.org/files/ENCFF581YUX/@@download/ENCFF581YUX.bam,GRCh38,,,,released,s3://encode-public/2018/01/19/d7e42d44-a19a-43be-b796-9bdd06dd01a2/ENCFF581YUX.bam,,,,
ENCFF081CDJ,bam,alignments,ENCSR743DDX,ChIP-seq,UBERON:0000945,stomach,tissue,Homo sapiens,,,,,,,,,,H3K27ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF061QOM, ENCFF358COO, ENCFF643CGH",1051812290,ENCODE Processing Pipeline,b90fe72f85561cb9607459a782cc7b74,,https://www.encodeproject.org/files/ENCFF081CDJ/@@download/ENCFF081CDJ.bam,GRCh38,,,,released,s3://encode-public/2016/12/19/5d12be97-5f27-4a06-a924-b2a8e5af53a1/ENCFF081CDJ.bam,,,,
ENCFF595GDK,bam,redacted alignments,ENCSR345QKG,ChIP-seq,NTR:0003013,placental basal plate,tissue,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF643CGH, ENCFF667PUQ",247313485,ENCODE Processing Pipeline,ea5ebd26272e94270ae7601a0b4363d5,,https://www.encodeproject.org/files/ENCFF595GDK/@@download/ENCFF595GDK.bam,GRCh38,,,,released,s3://encode-public/2017/11/09/d8d95edd-d88c-4d0e-817f-fa3d15f32a9c/ENCFF595GDK.bam,,,,
ENCFF382PYV,bam,alignments,ENCSR705SZP,ChIP-seq,EFO:0002847,PC-9,cell line,Homo sapiens,,,,,,,,,,H3K79me2-human,DNA,,,,,False,2017-01-13,ENCODE,,,,1,,,76.0,,,,"ENCFF392RHX, ENCFF643CGH",3054301352,ENCODE Processing Pipeline,24906cf31e36d90ca492033cc6644b42,,https://www.encodeproject.org/files/ENCFF382PYV/@@download/ENCFF382PYV.bam,GRCh38,,,,released,s3://encode-public/2017/01/09/8051246d-136c-4515-b028-95f88eb5a5a1/ENCFF382PYV.bam,,,,
ENCFF898HLF,bam,alignments,ENCSR705SZP,ChIP-seq,EFO:0002847,PC-9,cell line,Homo sapiens,,,,,,,,,,H3K79me2-human,DNA,,,,,False,2017-01-13,ENCODE,,,,2,,,76.0,,,,"ENCFF197OPO, ENCFF376SIP, ENCFF643CGH, ENCFF851IDU",3884827663,ENCODE Processing Pipeline,b58befe8b1447cc559ce63599a9b8505,,https://www.encodeproject.org/files/ENCFF898HLF/@@download/ENCFF898HLF.bam,GRCh38,,,,released,s3://encode-public/2017/01/09/6e9f3b6d-b701-4416-9ae2-f476c497d7e1/ENCFF898HLF.bam,,,,
ENCFF717VFK,bam,alignments,ENCSR086JMA,ChIP-seq,UBERON:0002080,heart right ventricle,tissue,Homo sapiens,,,,,,,,,,H3K9me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF431DJI, ENCFF643CGH",1458920019,ENCODE Processing Pipeline,1ef9ca8113712a84d43833bab27f5ad7,,https://www.encodeproject.org/files/ENCFF717VFK/@@download/ENCFF717VFK.bam,GRCh38,,,,released,s3://encode-public/2017/03/16/368d8cbb-5f83-4f3b-90e3-bd0fa263a373/ENCFF717VFK.bam,,,,
ENCFF497YFH,bam,alignments,ENCSR434AFF,ChIP-seq,CL:0000775,neutrophil,primary cell,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF327MDK, ENCFF504IDI, ENCFF643CGH",1316893302,ENCODE Processing Pipeline,b806815b7938e6c7e675d10c05ede293,,https://www.encodeproject.org/files/ENCFF497YFH/@@download/ENCFF497YFH.bam,GRCh38,,,,released,s3://encode-public/2017/05/23/dc5a648a-ef75-4c36-a2b5-b74065ee28ed/ENCFF497YFH.bam,,,,
ENCFF353SXB,bam,alignments,ENCSR335ELI,ChIP-seq,EFO:0007083,HUES48,cell line,Homo sapiens,,,,,,,,,,H3K9ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF499KLD, ENCFF643CGH",1220766702,ENCODE Processing Pipeline,e86d24fdee0e5731d1846c99fdff00b8,,https://www.encodeproject.org/files/ENCFF353SXB/@@download/ENCFF353SXB.bam,GRCh38,,,,released,s3://encode-public/2016/12/19/3fcbd694-c32c-489c-84ac-0c16566e01b0/ENCFF353SXB.bam,,,,
ENCFF130MYV,bam,alignments,ENCSR335ELI,ChIP-seq,EFO:0007083,HUES48,cell line,Homo sapiens,,,,,,,,,,H3K9ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,2,,,36.0,,,,"ENCFF643CGH, ENCFF813ERY",904087711,ENCODE Processing Pipeline,4bca7b415fc135e3aa50c021b2f79f3e,,https://www.encodeproject.org/files/ENCFF130MYV/@@download/ENCFF130MYV.bam,GRCh38,,,,released,s3://encode-public/2016/12/19/a2bc848a-d557-4acf-8da0-15ccf3c2e7cf/ENCFF130MYV.bam,,,,
ENCFF687LPA,bam,redacted alignments,ENCSR615HXA,ChIP-seq,CL:2000001,peripheral blood mononuclear cell,primary cell,Homo sapiens,,,,,,,,,,H3K27ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF643CGH, ENCFF720QKJ",238759840,ENCODE Processing Pipeline,18b5e2e1f685ad84c653e08f1bc289d6,,https://www.encodeproject.org/files/ENCFF687LPA/@@download/ENCFF687LPA.bam,GRCh38,,,,released,s3://encode-public/2017/11/09/ca7faacd-dfe2-4115-855d-ec17a6baefac/ENCFF687LPA.bam,,,,
ENCFF487DEB,bam,alignments,ENCSR152QRE,ChIP-seq,EFO:0002860,SK-N-MC,cell line,Homo sapiens,,,,,,,,,,H3K4me1-human,DNA,,,,,False,2016-11-14,ENCODE,,,,2,,,36.0,,,,"ENCFF643CGH, ENCFF853VBM",1639542230,ENCODE Processing Pipeline,a3f56925eeec339899f4e2063ad71671,,https://www.encodeproject.org/files/ENCFF487DEB/@@download/ENCFF487DEB.bam,GRCh38,,,,released,s3://encode-public/2016/11/09/db799551-219c-488d-a511-f51c6730996a/ENCFF487DEB.bam,,,,
ENCFF183BNX,bam,alignments,ENCSR152QRE,ChIP-seq,EFO:0002860,SK-N-MC,cell line,Homo sapiens,,,,,,,,,,H3K4me1-human,DNA,,,,,False,2016-11-14,ENCODE,,,,1,,,36.0,,,,"ENCFF643CGH, ENCFF857OJX",1619822604,ENCODE Processing Pipeline,888b73094e4c233846e283dcd03789b0,,https://www.encodeproject.org/files/ENCFF183BNX/@@download/ENCFF183BNX.bam,GRCh38,,,,released,s3://encode-public/2016/11/09/f3fb243d-03f9-46c1-83ae-bba83fccc4bd/ENCFF183BNX.bam,,,,
ENCFF121YVB,bam,alignments,ENCSR679CHH,ChIP-seq,EFO:0002860,SK-N-MC,cell line,Homo sapiens,,,,,,,,,,H3K9me3-human,DNA,,,,,False,2017-01-05,ENCODE,,,,1,,,36.0,,,,"ENCFF643CGH, ENCFF908ZIO",891748892,ENCODE Processing Pipeline,dc78c9829442b2e7d79a8f0281f5591e,,https://www.encodeproject.org/files/ENCFF121YVB/@@download/ENCFF121YVB.bam,GRCh38,,,,released,s3://encode-public/2016/11/10/4a9ab68b-9373-4921-846b-efad722a85ba/ENCFF121YVB.bam,,,,
ENCFF275SHZ,bam,alignments,ENCSR679CHH,ChIP-seq,EFO:0002860,SK-N-MC,cell line,Homo sapiens,,,,,,,,,,H3K9me3-human,DNA,,,,,False,2017-01-05,ENCODE,,,,2,,,36.0,,,,"ENCFF361VEE, ENCFF643CGH",813835075,ENCODE Processing Pipeline,b2be28287847e5f2aafb60d6406d68c2,,https://www.encodeproject.org/files/ENCFF275SHZ/@@download/ENCFF275SHZ.bam,GRCh38,,,,released,s3://encode-public/2016/11/10/8ff9a0fb-bc17-4c0c-850b-1b98f22b7fc9/ENCFF275SHZ.bam,,,,
ENCFF972SNO,bam,redacted alignments,ENCSR717HIA,ChIP-seq,UBERON:0001987,placenta,tissue,Homo sapiens,,,,,,,,,,H3K27ac-human,DNA,,,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF643CGH, ENCFF651XDZ, ENCFF849UUS",401975276,ENCODE Processing Pipeline,43f33d06c942bcc4b64f59a734220cad,,https://www.encodeproject.org/files/ENCFF972SNO/@@download/ENCFF972SNO.bam,GRCh38,,,,released,s3://encode-public/2017/11/09/3984e26b-4e00-4472-b543-712ce67a4b87/ENCFF972SNO.bam,,,,
ENCFF604KSI,bam,alignments,ENCSR491WAP,ChIP-seq,EFO:0002847,PC-9,cell line,Homo sapiens,,,,,,,,,,H2AFZ-human,DNA,,,,,False,2017-01-23,ENCODE,,,,2,,,76.0,,,,"ENCFF265TBN, ENCFF632CIK, ENCFF643CGH",4822784270,ENCODE Processing Pipeline,fd994fd9a69b899894ce21c5395fe914,,https://www.encodeproject.org/files/ENCFF604KSI/@@download/ENCFF604KSI.bam,GRCh38,,,,released,s3://encode-public/2017/01/13/c0f985f7-9bcb-45d5-bd73-5a8582a8e4d4/ENCFF604KSI.bam,,,,
ENCFF673IHH,bam,alignments,ENCSR491WAP,ChIP-seq,EFO:0002847,PC-9,cell line,Homo sapiens,,,,,,,,,,H2AFZ-human,DNA,,,,,False,2017-01-23,ENCODE,,,,1,,,76.0,,,,"ENCFF099UVT, ENCFF372TLC, ENCFF643CGH",5384254517,ENCODE Processing Pipeline,5a57d740d9b979fb5e3ec32151f9d93e,,https://www.encodeproject.org/files/ENCFF673IHH/@@download/ENCFF673IHH.bam,GRCh38,,,,released,s3://encode-public/2017/01/13/0d08e798-2e86-4076-96cd-baf648f8f0de/ENCFF673IHH.bam,,,,
ENCFF082MIE,bam,alignments,ENCSR561KOM,ChIP-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary cell,Homo sapiens,,,,,,,,,,H3K27ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF017MGJ, ENCFF416ZFL, ENCFF643CGH",1221589178,ENCODE Processing Pipeline,b8b1785ffe7ba7ec87f1a3f2fe0bfb3f,,https://www.encodeproject.org/files/ENCFF082MIE/@@download/ENCFF082MIE.bam,GRCh38,,,,released,s3://encode-public/2016/12/19/54430a3a-20d7-421a-96df-e11b54d84796/ENCFF082MIE.bam,,,,
ENCFF281VKY,bam,redacted alignments,ENCSR293MTQ,ChIP-seq,NTR:0000427,neurosphere,primary cell,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF342MGE, ENCFF643CGH, ENCFF836OUN",162287428,ENCODE Processing Pipeline,364fe49de7e817462e011ae4b29eb6c0,,https://www.encodeproject.org/files/ENCFF281VKY/@@download/ENCFF281VKY.bam,GRCh38,,,,released,s3://encode-public/2017/11/28/a9d85459-5c31-476f-81b7-086c1e110010/ENCFF281VKY.bam,,,,
ENCFF303QQB,bam,redacted alignments,ENCSR957CYJ,ChIP-seq,NTR:0000427,neurosphere,primary cell,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF643CGH, ENCFF918IKY",189159051,ENCODE Processing Pipeline,0a4d2d666f710dc8759c59eaa0a1b63f,,https://www.encodeproject.org/files/ENCFF303QQB/@@download/ENCFF303QQB.bam,GRCh38,,,,released,s3://encode-public/2017/11/09/42c241e4-bd88-4045-99c0-80b735630433/ENCFF303QQB.bam,,,,
ENCFF818NGQ,bam,redacted alignments,ENCSR130PLZ,ChIP-seq,NTR:0000427,neurosphere,primary cell,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF643CGH, ENCFF754CPM",201713993,ENCODE Processing Pipeline,7cd6b3c60c8787af31efc886ab8c3ea5,,https://www.encodeproject.org/files/ENCFF818NGQ/@@download/ENCFF818NGQ.bam,GRCh38,,,,released,s3://encode-public/2017/11/09/614139f6-d482-4d0a-bcfb-37c6321613e8/ENCFF818NGQ.bam,,,,
ENCFF529CNH,bam,alignments,ENCSR000DXJ,ChIP-seq,CL:0002328,bronchial epithelial cell,primary cell,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,see document,,False,2011-02-11,ENCODE,,,,1,,,36.0,,,,"ENCFF001GDH, ENCFF643CGH",437462785,ENCODE Processing Pipeline,dbfb9732b9b54d518dd1d46919f65581,,https://www.encodeproject.org/files/ENCFF529CNH/@@download/ENCFF529CNH.bam,GRCh38,,,,released,s3://encode-public/2016/08/10/ceef25ba-ffa5-499b-bab2-ad61cde00399/ENCFF529CNH.bam,,,,
ENCFF727PFZ,bam,alignments,ENCSR000DXJ,ChIP-seq,CL:0002328,bronchial epithelial cell,primary cell,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,see document,,False,2011-02-11,ENCODE,,,,2,,,36.0,,,,"ENCFF001GDQ, ENCFF643CGH",477246609,ENCODE Processing Pipeline,a1daac1d0b1495f8d04364c09e93dab9,,https://www.encodeproject.org/files/ENCFF727PFZ/@@download/ENCFF727PFZ.bam,GRCh38,,,,released,s3://encode-public/2016/08/10/c181f663-7052-40bf-83eb-96a8d999afac/ENCFF727PFZ.bam,,,,
ENCFF183ENL,bam,alignments,ENCSR492BHN,ChIP-seq,UBERON:0000945,stomach,tissue,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,,,,False,2019-02-11,ENCODE,,,,1,,,76.0,,,,"ENCFF026EML, ENCFF102TLD, ENCFF365YLF, ENCFF374PCD, ENCFF643CGH, ENCFF657ZEM, ENCFF949GBA",2819330587,ENCODE Processing Pipeline,412bf7c3539fb9d0268bcc26d648bb6d,,https://www.encodeproject.org/files/ENCFF183ENL/@@download/ENCFF183ENL.bam,GRCh38,,,,released,s3://encode-public/2019/02/07/d2d65738-75df-401e-8508-898400a33e4d/ENCFF183ENL.bam,,,,
ENCFF019UUR,bam,redacted alignments,ENCSR486QMV,ChIP-seq,UBERON:0001873,caudate nucleus,tissue,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF643CGH, ENCFF753WWF",227302911,ENCODE Processing Pipeline,1696be694491d7dabab7f9cb7b5dc009,,https://www.encodeproject.org/files/ENCFF019UUR/@@download/ENCFF019UUR.bam,GRCh38,,,,released,s3://encode-public/2017/10/16/5b708cf9-08af-4b3e-bb7a-e00062ebb167/ENCFF019UUR.bam,,,,
ENCFF704UCQ,bam,alignments,ENCSR096EZX,ChIP-seq,UBERON:0002113,kidney,tissue,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF392YOG, ENCFF643CGH",1180507923,ENCODE Processing Pipeline,5b80cdae75df2704c9caf4df7b42f821,,https://www.encodeproject.org/files/ENCFF704UCQ/@@download/ENCFF704UCQ.bam,GRCh38,,,,released,s3://encode-public/2016/12/19/d2438b3f-904c-4a62-944e-c5b35ac665aa/ENCFF704UCQ.bam,,,,
ENCFF776HMQ,bam,alignments,ENCSR709ABP,ChIP-seq,CL:1001606,foreskin keratinocyte,primary cell,Homo sapiens,calcium,1.2 mM,2.5 day,,,,,,,H3K27ac-human,DNA,,,,formaldehyde,False,2017-10-10,GGR,,,,1,,,101.0,,,,"ENCFF426MBY, ENCFF643CGH, ENCFF980VYO",2822537193,ENCODE Processing Pipeline,36cc6e65b9cbec4bdb2156ffdf68993e,,https://www.encodeproject.org/files/ENCFF776HMQ/@@download/ENCFF776HMQ.bam,GRCh38,,,,released,s3://encode-public/2017/01/07/9047f9f3-a710-491e-b187-7615b773eef4/ENCFF776HMQ.bam,,,,
ENCFF085FAH,bam,alignments,ENCSR709ABP,ChIP-seq,CL:1001606,foreskin keratinocyte,primary cell,Homo sapiens,calcium,1.2 mM,2.5 day,,,,,,,H3K27ac-human,DNA,,,,formaldehyde,False,2017-10-10,GGR,,,,2,,,101.0,,,,"ENCFF068PYY, ENCFF605KXF, ENCFF643CGH",3418352141,ENCODE Processing Pipeline,f5befd62fc8e209fdeeb05a392388c5d,,https://www.encodeproject.org/files/ENCFF085FAH/@@download/ENCFF085FAH.bam,GRCh38,,,,released,s3://encode-public/2017/01/10/d867e520-8a03-4d15-9cad-89913fa74ebe/ENCFF085FAH.bam,,,,
ENCFF216NVC,bam,redacted alignments,ENCSR963LVX,ChIP-seq,UBERON:0007106,chorionic villus,tissue,Homo sapiens,,,,,,,,,,H3K27ac-human,DNA,,,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF601MRW, ENCFF643CGH",326445137,ENCODE Processing Pipeline,d21cb3f0747aeee0e18fb8b0b1c0a086,,https://www.encodeproject.org/files/ENCFF216NVC/@@download/ENCFF216NVC.bam,GRCh38,,,,released,s3://encode-public/2017/11/09/74f7ca5d-288a-47d4-b360-00f54981b907/ENCFF216NVC.bam,,,,
ENCFF108XIF,bam,alignments,ENCSR377KDN,ChIP-seq,UBERON:0002084,heart left ventricle,tissue,Homo sapiens,,,,,,,,,,H3K4me3-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,36.0,,,,"ENCFF481OAC, ENCFF643CGH",478088270,ENCODE Processing Pipeline,f7cf050931052cef0af85c5bfaa9f81d,,https://www.encodeproject.org/files/ENCFF108XIF/@@download/ENCFF108XIF.bam,GRCh38,,,,released,s3://encode-public/2016/12/19/6e4f6bae-be17-4292-98e4-9bb7dcc1bc79/ENCFF108XIF.bam,,,,
ENCFF161BPY,bam,redacted alignments,ENCSR430RVP,ChIP-seq,UBERON:0000305,amnion,tissue,Homo sapiens,,,,,,,,,,H3K27ac-human,DNA,,see document,,,False,2013-07-31,Roadmap,,,,1,,,75.0,,,,"ENCFF552FAD, ENCFF643CGH",301463714,ENCODE Processing Pipeline,9153b28c8a09996824fe9aa809e18600,,https://www.encodeproject.org/files/ENCFF161BPY/@@download/ENCFF161BPY.bam,GRCh38,,,,released,s3://encode-public/2017/11/09/5a9c78de-3f37-4d39-8db4-5633b8a68667/ENCFF161BPY.bam,,,,
ENCFF860CKZ,bam,alignments,ENCSR812GLE,ChIP-seq,CL:1001606,foreskin keratinocyte,primary cell,Homo sapiens,calcium,1.2 mM,5.5 day,,,,,,,H3K27me3-human,DNA,,,,formaldehyde,False,2017-10-10,GGR,,,,2,,,101.0,,,,"ENCFF555NLW, ENCFF643CGH, ENCFF837UQS",7111573772,ENCODE Processing Pipeline,24cd2476099d15c1b294ebf7d38d639b,,https://www.encodeproject.org/files/ENCFF860CKZ/@@download/ENCFF860CKZ.bam,GRCh38,,,,released,s3://encode-public/2017/01/08/9773a895-4739-4d3d-9024-ad401f72d40a/ENCFF860CKZ.bam,,,,
ENCFF108CVW,bam,alignments,ENCSR812GLE,ChIP-seq,CL:1001606,foreskin keratinocyte,primary cell,Homo sapiens,calcium,1.2 mM,5.5 day,,,,,,,H3K27me3-human,DNA,,,,formaldehyde,False,2017-10-10,GGR,,,,1,,,101.0,,,,"ENCFF013PSL, ENCFF520FEL, ENCFF643CGH",7551964973,ENCODE Processing Pipeline,63893b348ec0cb0ffddc80834cd5e097,,https://www.encodeproject.org/files/ENCFF108CVW/@@download/ENCFF108CVW.bam,GRCh38,,,,released,s3://encode-public/2017/01/08/aebdbc1d-21e5-4886-b596-ee5b77bc203c/ENCFF108CVW.bam,,,,
